,,,,
59,0.286629,0.0342228,0.0379422,0.0394973
167,0.630961,0.226887,0.0872584,0.0574763
275,0.907304,0.615006,0.268094,0.086543
325,0.900867,0.405961,0.326502,0.0891562
326,0.978559,0.240553,0.395085,0.0932056
328,1.07552,0.454911,0.590467,0.0980618
329,1.16698,0.705219,0.840899,0.126858
388,1.24204,0.957903,1.13261,0.116803
442,2.21988,0.0468014,1.20338,0.0553943
492,0.114111,0.192466,0.206271,0.0130814
493,0.227938,0.386239,0.411377,0.0278404
494,0.461939,0.761783,0.82587,0.056243
495,1.06334,1.68829,1.92464,0.110887
496,2.65505,0.0785874,2.68745,0.084928
497,2.1442,3.38522,3.88527,0.158883
502,1.44291,2.55357,1.78956,0.189319
508,1.25887,1.5481,2.23328,0.170766
514,1.46604,2.16786,1.99371,0.183271
520,1.58128,2.74209,2.04285,0.197716
526,1.49497,1.45147,2.70327,0.187831
532,1.28026,2.28651,2.09225,0.163167
538,1.28268,2.29435,1.99568,0.197839
544,1.39878,2.53401,1.94418,0.147584
546,1.74272,2.8197,3.35003,0.187875
547,2.04852,3.26734,3.78304,0.178444
548,2.41448,3.65016,4.23876,0.182238
549,2.85991,4.09803,4.71697,0.168404
550,3.41467,4.53718,5.22037,0.218764
551,4.12779,5.00817,5.75566,0.193683
552,4.76843,5.20314,6.00379,0.214651
553,5.39605,5.15878,6.04353,0.239887
554,6.39731,5.25045,6.21055,0.265457
555,8.11883,5.68169,7.10062,0.289449
556,10.4471,7.15157,9.35879,0.352394
557,10.5142,6.59282,8.80126,0.321816
558,12.273,2.94252,6.83563,0.445343
559,12.4845,2.12813,6.83827,0.455192
560,12.7394,2.28101,6.85351,0.498603
561,13.0536,2.44565,6.88257,0.503468
562,13.4835,2.66007,6.92823,0.504339
563,14.1309,2.86427,6.9921,0.547607
564,15.0312,3.06456,7.0715,0.539795
565,16.3478,3.35947,7.15705,0.581025
566,0.349194,0.0537011,0.0482772,0.0401151
567,0.415698,0.0676953,0.0713572,0.0425163
568,0.485494,0.0675862,0.107901,0.0439645
569,0.557639,0.134824,0.158403,0.0499766
570,0.704259,0.312184,0.073976,0.0635737
571,0.776431,0.381833,0.160294,0.0676334
572,0.846417,0.454162,0.345514,0.0704089
573,0.913362,0.557098,0.410977,0.0760455
574,1.30453,1.21057,1.45174,0.0847492
575,1.36541,1.50952,1.78606,0.0927093
576,1.43371,1.79238,2.13712,0.149374
577,1.5143,2.09982,2.51139,0.181993
578,2.31265,0.0505975,1.39534,0.058308
579,2.44431,0.0538063,1.57337,0.0598218
580,2.4819,0.0566046,1.71432,0.0625284
581,2.5186,0.0597917,1.853,0.0657464
582,2.55499,0.0629426,1.99188,0.0689342
583,2.58938,0.0656723,2.12554,0.0716399
584,2.62164,0.0684465,2.25458,0.0744391
585,2.65078,0.0710718,2.3764,0.0771204
586,2.67437,0.0733387,2.48341,0.079478
587,2.69227,0.0752753,2.5758,0.0815472
588,2.7023,0.0768288,2.64622,0.0832153
589,2.70433,0.0778389,2.69489,0.0842386
590,2.69697,0.0783827,2.71628,0.0847873
591,2.68061,0.078744,2.71301,0.0851308
